,trip_year,trip_month,gender,ride_count
0,2018,1,Unknown,28654
1,2018,1,Male,536592
2,2018,1,Female,151325
0,2018,2,Unknown,38525
1,2018,2,Male,620485
2,2018,2,Female,180724
0,2018,3,Unknown,58748
1,2018,3,Male,700948
2,2018,3,Female,211949
0,2018,4,Unknown,116265
1,2018,4,Male,886545
2,2018,4,Female,291412
0,2018,5,Unknown,188690
1,2018,5,Male,1197592
2,2018,5,Female,417445
0,2018,6,Unknown,190341
1,2018,6,Male,1274880
2,2018,6,Female,464763
0,2018,7,Unknown,198366
1,2018,7,Male,1235178
2,2018,7,Female,455227
0,2018,8,Unknown,194445
1,2018,8,Male,1289103
2,2018,8,Female,470971
0,2018,9,Unknown,164540
1,2018,9,Male,1233953
2,2018,9,Female,458774
0,2018,10,Unknown,119610
1,2018,10,Male,1298492
2,2018,10,Female,445531
0,2018,11,Unknown,64117
1,2018,11,Male,898891
2,2018,11,Female,288402
0,2018,12,Unknown,44309
1,2018,12,Male,743821
2,2018,12,Female,222413
0,2019,1,Unknown,32955
1,2019,1,Male,724914
2,2019,1,Female,205102
0,2019,2,Unknown,35402
1,2019,2,Male,701136
2,2019,2,Female,202571
0,2019,3,Unknown,68349
1,2019,3,Male,958397
2,2019,3,Female,291633
0,2019,4,Unknown,130567
1,2019,4,Male,1211100
2,2019,4,Female,404736
0,2019,5,Unknown,159691
1,2019,5,Male,1286014
2,2019,5,Female,457575
0,2019,6,Unknown,188506
1,2019,6,Male,1389974
2,2019,6,Female,521496
0,2019,7,Unknown,185902
1,2019,7,Male,1432298
2,2019,7,Female,538027
0,2019,8,Unknown,214247
1,2019,8,Male,1520628
2,2019,8,Female,581805
0,2019,9,Unknown,196270
1,2019,9,Male,1602894
2,2019,9,Female,620757
0,2019,10,Unknown,147538
1,2019,10,Male,1419390
2,2019,10,Female,508816
0,2019,11,Unknown,81847
1,2019,11,Male,1038881
2,2019,11,Female,349183
0,2019,12,Unknown,44549
1,2019,12,Male,693767
2,2019,12,Female,211823
